"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"29","RT @PavilionVitamin: Natura Health Products offer The ultimate synergy of botanical and nutritional medicine herbal formulas target cold an…",FALSE,0,NA,2019-03-05 18:24:53,FALSE,NA,"1102998433697169408",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","deann_native",1,TRUE,FALSE,NA,NA
"30","@DuffusMonkey @_Jeg_ Not to mention dying from the common cold, flu. or other preventable diseases. Give me today anyday.",FALSE,1,"DuffusMonkey",2019-03-05 18:22:02,FALSE,"1102996683439378433","1102997715481518080","227346663","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Tempiwmf",0,FALSE,FALSE,NA,NA
"31","@Lisacultjam71 lol awe! Stop it lol lol) I am DEFINITELY on the left... not one cold/ flu, back pain, headaches ( m… https://t.co/rOBfuVliTM",FALSE,1,"Lisacultjam71",2019-03-05 18:19:55,TRUE,"1102707974085230592","1102997182351921153","705579218466426880","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Vej_Gee",0,FALSE,FALSE,NA,NA
"32","6 Ways to #Prevent Cold and Flu #Viruses from Spreading at Home https://t.co/GXxY1BvCez #coldandflu #prevention https://t.co/0y8TjJV8QY",FALSE,0,NA,2019-03-05 18:13:21,FALSE,NA,"1102995527959040000",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","Tim_Olsen",0,FALSE,FALSE,NA,NA
"33","In honor of cold and flu season https://t.co/M2kVxXjfhV",FALSE,8,NA,2019-03-05 18:09:39,FALSE,NA,"1102994598803193857",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PoisonIffy",1,FALSE,FALSE,NA,NA
"34","Did you know humidifiers can actually help you stay healthy by reducing cold and flu germs? 

Call Lee’s today at (… https://t.co/WVWITGCcQt",FALSE,0,NA,2019-03-05 18:05:19,TRUE,NA,"1102993507957002240",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","LeesHeatAC",0,FALSE,FALSE,NA,NA
"35","Idk why but running helps me get rid of a cold/flu.. seem like that’s the only thing that helps me feel better",FALSE,0,NA,2019-03-05 17:59:56,FALSE,NA,"1102992152748011522",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Doc_Not_Darion",0,FALSE,FALSE,NA,NA
"36",".@samanthawpac since it's cold and flu season, and I am suffering from a cold I must pay tribute to my favorite Chr… https://t.co/TZhaGf2uuU",FALSE,0,NA,2019-03-05 17:58:24,TRUE,NA,"1102991767681581056",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Lisa_Caulfield1",0,FALSE,FALSE,NA,NA
"37","Guess who got motion sickness from the plane ride, caught a nasty cold/flu, and sprained her ankle walking to the p… https://t.co/QrtxuNM9m4",FALSE,0,NA,2019-03-05 17:57:26,TRUE,NA,"1102991525401767936",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jodibushong",0,FALSE,FALSE,NA,NA
"38","Have you noticed that your office break room, children’s school or local community center is less crowded than usua… https://t.co/lgmJXFRE2N",FALSE,0,NA,2019-03-05 17:45:00,TRUE,NA,"1102988394622316544",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","425Magazine",0,FALSE,FALSE,NA,NA
